region_hydro_ope,periode,esp_nom_commun,esp_nom_commun_nb
A,1991,"Chevaine, Goujon, Gardon, Anguille d'Europe, Spirlin, Hotu, Vairon, Epinoche, Ablette, Loche franche, Vandoise, Lote de rivière, Barbeau fluviatile, Perche, Tanche, Brochet, Brème commune, Rotengle, Carpe commune, Perche soleil, Sandre, Brème bordelière, Gremille, Truite de riviere, Chabot, Bouvière, Loche de rivière, Carassin, Ombre commun, Lamproie de planer",30
A,1993,"Vandoise, Gardon, Chevaine, Anguille d'Europe, Goujon, Brochet, Spirlin, Ablette, Epinoche, Brème commune, Vairon, Perche, Bouvière, Barbeau fluviatile, Tanche, Sandre, Brème bordelière, Carpe miroir, Carpe commune, Hotu, Gremille, Lote de rivière, Truite de riviere, Perche soleil, Rotengle, Loche franche, Carassin, Chabot, Ombre commun, Lamproie indéterminée (genre Lampetra), Lamproie de planer, Truite arc-en-ciel, Epinochette, Loche de rivière",34
A,1995,"Goujon, Chevaine, Ablette, Vairon, Anguille d'Europe, Vandoise, Hotu, Gardon, Spirlin, Brème commune, Barbeau fluviatile, Epinoche, Loche franche, Perche, Brochet, Tanche, Perche soleil, Rotengle, Carpe commune, Sandre, Brème bordelière, Gremille, Carassin, Truite de riviere, Chabot, Lamproie de planer, Bouvière, Ombre commun, Aspe, Truite arc-en-ciel, Loche de rivière, Poisson chat, Lote de rivière",33
A,1997,"Vairon, Loche franche, Epinoche, Barbeau fluviatile, Chevaine, Anguille d'Europe, Hotu, Goujon, Truite de riviere, Chabot, Perche, Saumon atlantique, Tanche, Brochet, Gardon, Ablette, Vandoise, Brème bordelière, Carpe commune, Gremille, Brème commune, Perche soleil, Rotengle, Aspe, Lote de rivière, Spirlin, Pseudorasbora, Truite arc-en-ciel, Carassin, Carpe miroir, Ombre commun, Lamproie de planer, Bouvière, Sandre, Poisson chat, Loche de rivière",36
A,1999,"Barbeau fluviatile, Vairon, Anguille d'Europe, Hotu, Ablette, Spirlin, Chabot, Truite de riviere, Goujon, Ombre commun, Chevaine, Epinoche, Loche franche, Saumon atlantique, Perche soleil, Gardon, Vandoise, Perche, Brème commune, Aspe, Brochet, Carpe commune, Tanche, Brème bordelière, Sandre, Gremille, Rotengle, Pseudorasbora, Cyprinidés, Carassin, Carpe miroir, Able de Heckel, Lamproie de planer, Bouvière, Truite arc-en-ciel, Lote de rivière, Loche de rivière, Silure glane, Poisson chat",39
A,2001,"Vairon, Chevaine, Loche franche, Barbeau fluviatile, Goujon, Perche, Anguille d'Europe, Lamproie de planer, Chabot, Spirlin, Hotu, Blageon, Vandoise, Gardon, Epinoche, Silure glane, Ombre commun, Gremille, Truite de riviere, Brochet, Saumon atlantique, Tanche, Ablette, Perche soleil, Brème commune, Brème bordelière, Lote de rivière, Sandre, Aspe, Pseudorasbora, Carassin, Truite arc-en-ciel, Rotengle, Carpe miroir, Able de Heckel, Bouvière, Carrassin doré, Loche de rivière, Carpe commune, Poisson chat, Ide melanote",41
A,2003,"Vairon, Chevaine, Loche franche, Barbeau fluviatile, Spirlin, Epinoche, Goujon, Gardon, Anguille d'Europe, Hotu, Gremille, Lamproie de planer, Chabot, Ablette, Vandoise, Perche, Truite de riviere, Saumon atlantique, Carpe commune, Tanche, Brochet, Rotengle, Sandre, Silure glane, Brème bordelière, Perche soleil, Brème commune, Lamproie indéterminée (genre Lampetra), Pseudorasbora, Truite arc-en-ciel, Carrassin doré, Able de Heckel, Carassin, Ombre commun, Bouvière, Aspe, Cyprinidés, Lote de rivière, Lamproie marine, Loche de rivière, Poisson chat, Carpe miroir",42
A,2005,"Vairon, Chevaine, Loche franche, Goujon, Epinoche, Lamproie indéterminée (genre Lampetra), Truite de riviere, Spirlin, Perche, Anguille d'Europe, Saumon atlantique, Barbeau fluviatile, Gardon, Hotu, Ombre commun, Gremille, Brochet, Lamproie de planer, Tanche, Silure glane, Perche soleil, Brème commune, Ablette, Sandre, Rotengle, Aspe, Vandoise, Carpe commune, Pseudorasbora, Lote de rivière, Chabot, Poisson chat, Truite arc-en-ciel, Carassin argente, Carrassin doré, Bouvière, Brème bordelière, Loche de rivière, Ide melanote, Epinochette, Able de Heckel, Carpe miroir, Saumon de fontaine, Carassin",44
A,2007,"Vairon, Chevaine, Loche franche, Goujon, Epinoche, Hotu, Gardon, Anguille d'Europe, Lamproie de planer, Spirlin, Barbeau fluviatile, Chabot, Pseudorasbora, Saumon atlantique, Truite de riviere, Perche, Ablette, Carpe commune, Lamproie indéterminée (genre Lampetra), Brème commune, Vandoise, Silure glane, Perche soleil, Brochet, Gremille, Aspe, Tanche, Bouvière, Lote de rivière, Sandre, Gobie demi-lune, Brème bordelière, Truite arc-en-ciel, Carassin argente, Carassin, Rotengle, Carpe miroir, Ombre commun, Loche de rivière, Ide melanote, Poisson chat, Carrassin doré, Epinochette, Cyprinidés, Able de Heckel, Hybride brème-gardon",46
A,2009,"Vairon, Loche franche, Chevaine, Epinoche, Goujon, Truite de riviere, Barbeau fluviatile, Hotu, Anguille d'Europe, Chabot, Gremille, Tanche, Gardon, Brochet, Spirlin, Perche, Bouvière, Brème commune, Ablette, Perche soleil, Silure glane, Vandoise, Rotengle, Lamproie de planer, Aspe, Pseudorasbora, Gobie demi-lune, Sandre, Carpe miroir, Carpe commune, Able de Heckel, Saumon atlantique, Ombre commun, Truite arc-en-ciel, Brème bordelière, Loche de rivière, Lote de rivière, Carassin argente, Carassin, Poisson chat, Epinochette",41
A,2011,"Vairon, Loche franche, Hotu, Barbeau fluviatile, Chevaine, Epinoche, Goujon, Saumon atlantique, Truite de riviere, Spirlin, Gardon, Silure glane, Perche soleil, Perche, Brochet, Ablette, Anguille d'Europe, Brème commune, Tanche, Gobie demi-lune, Vandoise, Aspe, Gremille, Sandre, Carpe commune, Lamproie de planer, Bouvière, Gobie de kessler, Gobie à tache noire, Chabot, Lote de rivière, Pseudorasbora, Truite arc-en-ciel, Able de Heckel, Ombre commun, Rotengle, Loche de rivière, Brème bordelière, Carassin argente, Carpe miroir, Poisson chat, Epinochette, Carassin",43
