secteur_hydro_ope,periode,esp_nom_commun,esp_nom_commun_nb
A0,1991,"Chevaine, Goujon, Gardon, Anguille d'Europe, Spirlin, Hotu, Vairon, Epinoche, Ablette, Loche franche, Vandoise, Lote de rivière, Barbeau fluviatile, Perche, Tanche, Brochet, Brème commune, Rotengle, Carpe commune, Perche soleil, Sandre, Brème bordelière, Gremille",23
A0,1993,"Vandoise, Gardon, Chevaine, Anguille d'Europe, Goujon, Brochet, Spirlin, Ablette, Epinoche, Brème commune, Vairon, Perche, Bouvière, Barbeau fluviatile, Tanche, Sandre, Brème bordelière, Carpe miroir, Carpe commune, Hotu, Gremille, Lote de rivière, Truite de riviere, Perche soleil, Rotengle, Loche franche",26
A0,1995,"Goujon, Chevaine, Ablette, Vairon, Anguille d'Europe, Vandoise, Hotu, Gardon, Spirlin, Brème commune, Barbeau fluviatile, Epinoche, Loche franche, Perche, Brochet, Tanche, Perche soleil, Rotengle, Carpe commune, Sandre, Brème bordelière, Gremille",22
A0,1997,"Vairon, Loche franche, Epinoche, Barbeau fluviatile, Chevaine, Anguille d'Europe, Hotu, Goujon, Truite de riviere, Chabot, Perche, Saumon atlantique, Tanche, Brochet, Gardon, Ablette, Vandoise, Brème bordelière, Carpe commune, Gremille, Brème commune, Perche soleil, Rotengle",23
A0,1999,"Barbeau fluviatile, Vairon, Anguille d'Europe, Hotu, Ablette, Spirlin, Chabot, Truite de riviere, Goujon, Ombre commun, Chevaine, Epinoche, Loche franche, Saumon atlantique, Perche soleil, Gardon, Vandoise, Perche, Brème commune, Aspe, Brochet, Carpe commune, Tanche, Brème bordelière, Sandre, Gremille",26
A0,2001,"Vairon, Chevaine, Loche franche, Barbeau fluviatile, Goujon, Perche, Anguille d'Europe, Lamproie de planer, Chabot, Spirlin, Hotu, Blageon, Vandoise, Gardon, Epinoche, Silure glane, Ombre commun, Gremille, Truite de riviere, Brochet, Saumon atlantique, Tanche, Ablette, Perche soleil, Brème commune, Brème bordelière, Lote de rivière",27
A0,2003,"Vairon, Chevaine, Loche franche, Barbeau fluviatile, Spirlin, Epinoche, Goujon, Gardon, Anguille d'Europe, Hotu, Gremille, Lamproie de planer, Chabot, Ablette, Vandoise, Perche, Truite de riviere, Saumon atlantique, Carpe commune, Tanche, Brochet, Rotengle, Sandre, Silure glane, Brème bordelière, Perche soleil, Brème commune",27
A0,2005,"Vairon, Chevaine, Loche franche, Goujon, Epinoche, Lamproie indéterminée (genre Lampetra), Truite de riviere, Spirlin, Perche, Anguille d'Europe, Saumon atlantique, Barbeau fluviatile, Gardon, Hotu, Ombre commun, Gremille, Brochet, Lamproie de planer, Tanche, Silure glane, Perche soleil, Brème commune, Ablette, Sandre, Rotengle, Aspe, Vandoise, Carpe commune, Pseudorasbora, Lote de rivière",30
A0,2007,"Vairon, Chevaine, Loche franche, Goujon, Epinoche, Hotu, Gardon, Anguille d'Europe, Lamproie de planer, Spirlin, Barbeau fluviatile, Chabot, Pseudorasbora, Saumon atlantique, Truite de riviere, Perche, Ablette, Carpe commune, Lamproie indéterminée (genre Lampetra), Brème commune, Vandoise, Silure glane, Perche soleil, Brochet, Gremille, Aspe, Tanche, Bouvière, Lote de rivière, Sandre",30
A0,2009,"Vairon, Loche franche, Chevaine, Epinoche, Goujon, Truite de riviere, Barbeau fluviatile, Hotu, Anguille d'Europe, Chabot, Gremille, Tanche, Gardon, Brochet, Spirlin, Perche, Bouvière, Brème commune, Ablette, Perche soleil, Silure glane, Vandoise, Rotengle, Lamproie de planer, Aspe, Pseudorasbora",26
