nom_station,periode,esp_nom_commun,esp_nom_commun_nb,pop_coordonnees_x,pop_coordonnees_y,secteur_hydro_ope,region_hydro_ope
01000477 - Rinxent,1999,"Chabot, Vairon, Anguille d'Europe, Lamproie marine, Truite de riviere, Lamproie de planer, Epinoche, Lamproie de rivière, Truite arc-en-ciel",9,611011,7078271,E5,E
01000477 - Rinxent,2001,"Chabot, Vairon, Anguille d'Europe, Truite de riviere, Lamproie de planer",5,611011,7078271,E5,E
01000477 - Rinxent,2003,"Vairon, Chabot, Anguille d'Europe, Lamproie de planer, Gardon, Truite de riviere, Epinoche, Vandoise, Lamproie de rivière, Truite arc-en-ciel",10,611011,7078271,E5,E
01000477 - Rinxent,2005,"Vairon, Anguille d'Europe, Chabot, Lamproie de planer, Truite de riviere, Perche, Gardon, Truite arc-en-ciel, Carpe commune, Truite de mer",10,611011,7078271,E5,E
01000477 - Rinxent,2007,"Chabot, Vairon, Anguille d'Europe, Truite de riviere, Lamproie de planer, Flet commun, Truite de mer, Perche",8,611011,7078271,E5,E
01000477 - Rinxent,2009,"Chabot, Anguille d'Europe, Truite de riviere, Vairon, Lamproie indéterminée (genre Lampetra), Lamproie de planer, Gardon, Epinoche",8,611011,7078271,E5,E
01000477 - Rinxent,2011,"Chabot, Truite de riviere, Anguille d'Europe, Vairon, Lamproie indéterminée (genre Lampetra), Carpe commune",6,611011,7078271,E5,E
01000477 - Rinxent,2013,"Chabot, Vairon, Anguille d'Europe, Truite de riviere, Lamproie indéterminée (genre Lampetra), Truite arc-en-ciel, Epinoche, Lamproie de planer, Perche, Truite de mer",10,611011,7078271,E5,E
01000477 - Rinxent,2015,"Chabot, Vairon, Anguille d'Europe, Truite de riviere, Lamproie de rivière, Lamproie indéterminée (genre Lampetra), Epinoche, Lamproie de planer, Truite arc-en-ciel",9,611011,7078271,E5,E
01000477 - Rinxent,2017,"Chabot, Vairon, Anguille d'Europe, Truite de riviere, Lamproie indéterminée (genre Lampetra), Epinoche, Lamproie de rivière, Truite de mer",8,611011,7078271,E5,E
01000477 - Rinxent,2019,"Vairon, Chabot, Anguille d'Europe, Truite de riviere, Lamproie indéterminée (genre Lampetra), Lamproie de planer",6,611011,7078271,E5,E
01001122 - Eppe-Sauvage,2005,"Chabot, Loche franche, Gardon, Goujon, Vandoise, Chevaine, Gremille, Ablette, Brème commune, Perche, Epinoche, Bouvière, Sandre, Truite arc-en-ciel",14,784154,7002804,D0,D
01001122 - Eppe-Sauvage,2007,"Chabot, Loche franche, Perche, Ablette, Gardon, Chevaine, Goujon, Vandoise, Gremille, Vairon, Truite de riviere",11,784154,7002804,D0,D
01001122 - Eppe-Sauvage,2009,"Loche franche, Chabot, Perche, Ablette, Goujon, Vandoise, Chevaine, Gardon, Truite arc-en-ciel, Truite de riviere",10,784154,7002804,D0,D
01001122 - Eppe-Sauvage,2011,"Chabot, Loche franche, Goujon, Ablette, Vandoise, Truite de riviere, Perche, Chevaine, Vairon, Gremille",10,784154,7002804,D0,D
01001122 - Eppe-Sauvage,2013,"Gardon, Ablette, Chabot, Loche franche, Goujon, Chevaine, Vandoise, Bouvière, Perche, Brème commune, Truite de riviere, Vairon, Gremille, Truite arc-en-ciel",14,784154,7002804,D0,D
01001122 - Eppe-Sauvage,2015,"Chabot, Loche franche, Vandoise, Goujon, Vairon, Chevaine, Ablette, Gardon, Bouvière, Gremille, Perche, Epinoche",12,784154,7002804,D0,D
01001131 - Grand-Fayt,1995,"Goujon, Gardon, Chevaine, Ablette, Spirlin, Vandoise, Loche franche, Vairon, Perche, Gremille, Chabot, Loche de rivière, Hotu, Carpe cuir, Epinoche, Carpe miroir, Carassin, Tanche, Brochet",19,757929,7002371,D0,D
01001131 - Grand-Fayt,1997,"Goujon, Chevaine, Gardon, Ablette, Loche franche, Vairon, Vandoise, Spirlin, Loche de rivière, Chabot, Brochet, Gremille, Perche, Epinoche, Truite arc-en-ciel",15,757929,7002371,D0,D
01001131 - Grand-Fayt,1999,"Goujon, Chevaine, Loche franche, Gardon, Ablette, Vairon, Loche de rivière, Vandoise, Spirlin, Chabot, Perche, Gremille",12,757929,7002371,D0,D
01001131 - Grand-Fayt,2001,"Loche franche, Chevaine, Goujon, Vairon, Gardon, Vandoise, Spirlin, Loche de rivière, Ablette, Chabot, Epinoche, Gremille, Brochet, Perche, Tanche",15,757929,7002371,D0,D
01001131 - Grand-Fayt,2003,"Loche franche, Gardon, Chevaine, Vandoise, Goujon, Vairon, Loche de rivière, Spirlin, Rotengle, Epinoche, Perche, Bouvière, Chabot, Ablette, Tanche, Gremille, Hotu",17,757929,7002371,D0,D
01001131 - Grand-Fayt,2005,"Goujon, Gardon, Chevaine, Vairon, Bouvière, Vandoise, Ablette, Loche franche, Spirlin, Perche, Loche de rivière, Tanche, Brochet, Carassin, Gremille, Rotengle",16,757929,7002371,D0,D
01001131 - Grand-Fayt,2007,"Goujon, Gardon, Vandoise, Loche franche, Chevaine, Vairon, Ablette, Spirlin, Perche, Gremille, Loche de rivière, Brochet, Rotengle, Chabot, Bouvière, Barbeau fluviatile, Able de Heckel, Carpe commune, Brème commune, Epinoche",20,757929,7002371,D0,D
01001131 - Grand-Fayt,2009,"Vairon, Goujon, Loche franche, Ablette, Chevaine, Vandoise, Loche de rivière, Gardon, Spirlin, Chabot, Perche, Gremille, Bouvière",13,757929,7002371,D0,D
01001131 - Grand-Fayt,2011,"Loche franche, Vairon, Chevaine, Vandoise, Goujon, Gardon, Epinoche, Loche de rivière, Ablette, Chabot, Brochet, Barbeau fluviatile, Perche, Carassin doré, Gremille",15,757929,7002371,D0,D
